geom,value,id
POINT(-0.975392499 51.7400519749),428000,526029
POINT(-1.2600974545 51.6078190437),405000,526127
POINT(-1.1499398033 51.9128727566),245000,528651
POINT(-1.4247659906 51.5859192348),180000,533153
POINT(-1.2945427533 51.7853520361),895000,543432
POINT(-1.1267910228 51.8672972346),133200,546083
POINT(-0.9059079999 51.5411492651),675000,566136
POINT(-1.1961432574 51.725269465),284000,566843
POINT(-1.0883490494 51.6678629984),642000,597824
POINT(-1.1427894741 51.9050973833),298500,626673
POINT(-1.5393043022 51.6765559933),1300000,634752
POINT(-1.2360773137 51.6115497672),150000,643160
POINT(-1.2405000106 51.7419377283),705000,643710
POINT(-1.497313885 51.7776174672),352500,662574
POINT(-1.5850228517 51.7679529922),352500,663420
POINT(-1.307995455 51.5699142526),406000,665252
POINT(-1.3495681973 52.0687361097),236454,670172
POINT(-1.645944318 51.7810277085),317000,683233
POINT(-1.1958573479 51.767482134),258000,684358
POINT(-1.2024600674 51.745579126),343000,690305
POINT(-1.411466915 51.5874718678),245000,734878
POINT(-1.5974746927 51.6517283776),590000,3819
POINT(-1.1874603349 51.7613731499),467500,4816
POINT(-1.5839484996 51.7713209372),520000,9665
POINT(-1.1488950243 51.74563501),585000,13727
POINT(-1.1382877179 51.6071417417),940000,18085
POINT(-1.2580010305 51.5787268726),930000,18089
POINT(-0.9660935435 51.7413552343),510000,18511
POINT(-1.6037500371 51.772441312),482000,20300
POINT(-1.2600127488 51.7825234596),1900000,25162
POINT(-1.18368287 51.6895952386),1350000,26743
POINT(-1.1980650634 51.5730730933),805000,27492
POINT(-1.4491446296 51.5906848161),635000,27747
POINT(-1.5078770834 51.781933148),595000,28766
POINT(-1.1572379914 51.8833529747),520000,31058
POINT(-1.3979100793 51.8417978289),625000,32817
POINT(-1.3085194612 52.0249415792),510000,33015
POINT(-1.5337143226 51.7279646684),644633,36466
POINT(-1.5770070979 51.7666116935),476286,37286
POINT(-1.2635180322 51.614188619),724950,38367
POINT(-1.1139490754 51.6274977258),875000,47716
POINT(-1.1647864057 51.9244788917),620000,47910
POINT(-0.8815280592 51.5145367704),1000000,56681
POINT(-1.5181072179 51.7850416711),419995,59595
POINT(-1.3060284247 51.744446602),850000,61681
POINT(-1.5922958842 51.916170791),675000,63954
POINT(-1.3127278144 51.7382099288),1500000,65197
POINT(-1.0600968918 51.7389974254),417500,67032
POINT(-1.1565692679 51.8989031176),449000,83494
POINT(-1.4136901503 51.6838548394),800000,84110
POINT(-1.349878824 51.8508844271),775000,84934
POINT(-1.2301436143 51.7598802455),1250000,94017
POINT(-1.3251080751 52.0674027112),259600,94898
POINT(-1.2767684432 51.8733139455),490000,95891
POINT(-1.5307083431 51.7889320594),590000,98299
POINT(-1.3180567223 51.6274654742),922000,98858
POINT(-1.2990880159 51.6650286539),490000,99651
POINT(-1.3595401703 52.0814410671),371000,103976
POINT(-0.9042305249 51.5245345107),4075000,105429
POINT(-1.1324689854 51.7456588191),625000,106654
POINT(-1.6380415188 51.8067634803),1520000,106868
POINT(-1.2224311856 51.7626527963),1215000,109212
POINT(-1.1404923249 51.6028059273),800000,111063
POINT(-1.3692579902 52.0753168514),462500,112140
POINT(-0.98670552 51.4733565683),1070500,115741
POINT(-1.3211529328 52.0154936635),1220000,116476
POINT(-1.3719020398 52.0199109294),780000,119961
POINT(-1.1643472137 51.9254198493),545000,122013
POINT(-0.9789488289 51.4783427345),610000,124487
POINT(-1.3392353047 52.0541673297),625000,124807
POINT(-1.1917935143 51.7524026493),745000,125819
POINT(-1.2746104781 51.8756293976),850000,133277
POINT(-1.4701813568 51.7948063744),860000,136858
POINT(-1.0366648548 51.5431672914),1075000,136985
POINT(-1.591600708 51.7134704518),465000,137872
POINT(-0.8890596855 51.5129808041),1630000,152546
POINT(-1.2948446412 51.5656549464),505000,152559
POINT(-1.0400253316 51.5465667262),2000000,155596
POINT(-0.9080400769 51.6952241566),195000,163560
POINT(-0.9617494074 51.4570331121),377978,166576
POINT(-0.95735176 51.4637021447),114000,176519
POINT(-1.1787505647 51.8979720583),154930,192745
POINT(-1.2868897967 51.667463981),135000,197582
POINT(-1.3253957485 52.0599239667),167000,198475
POINT(-1.1523023339 51.8947184848),211000,198632
POINT(-1.5412404444 51.9426504477),197500,198706
POINT(-1.3253430611 52.0605170617),145000,199676
POINT(-0.902355226 51.5311890225),392500,203057
POINT(-1.4995347422 51.7878141369),103850,207794
POINT(-0.9976743894 51.4583531592),215000,216554
POINT(-1.2860052422 51.6768278088),243000,217039
POINT(-1.2841182151 51.6864372937),208000,217440
POINT(-1.2611300611 51.7744652097),423000,217958
POINT(-1.3139697698 51.6484730107),185000,227716
POINT(-0.9716295625 51.4669936792),240000,233850
POINT(-1.2530426409 51.6047622158),192500,236896
POINT(-0.9609424536 51.4564414757),464215,240869
POINT(-1.5175946245 51.7828097168),102500,247827
POINT(-0.9609424536 51.4564414757),314280,249629
POINT(-1.1561331837 51.9152011259),210000,253448
POINT(-1.4874719001 51.789137722),210000,256730
POINT(-1.2921808499 51.8251154716),160000,258516
POINT(-1.2557277859 51.6021536907),185000,262385
POINT(-1.2471043595 51.732359372),333000,262725
POINT(-1.4265694071 51.5882748699),160000,267637
POINT(-1.4883696399 51.7892405456),88750,268545
POINT(-1.1240005344 51.5991683603),265000,273409
POINT(-1.2695727089 51.6103959717),137500,274431
POINT(-1.5816825328 51.6588934575),150000,274644
POINT(-0.9856453765 51.7407523664),1050000,288967
POINT(-1.3600292321 51.7123837616),102500,289394
POINT(-1.2490744868 51.9313675363),31500000,292057
POINT(-1.2959748635 51.7426784951),2000,301212
POINT(-0.9957414425 51.4565741673),244000,301588
POINT(-1.3373103408 52.042315554),802725,301848
POINT(-0.9990003908 51.4615656629),393000,305008
POINT(-1.2818384275 52.0910989718),737500,313974
POINT(-1.142254855 51.6088881789),416000,317310
POINT(-1.4916914326 51.7232856985),1800000,325395
POINT(-1.2490744868 51.9313675363),31500000,347047
POINT(-1.294734002 51.7479580173),635000,353481
POINT(-1.1834155068 51.8402083623),387000,359831
POINT(-1.3615744185 52.0462346595),430950,362013
POINT(-1.6024004284 51.7693437447),276908,371152
POINT(-1.262610713 51.6006505139),402500,388986
POINT(-1.2416289164 51.619003807),367000,392696
POINT(-0.97953022 51.4729346178),955000,397077
POINT(-0.9836785185 51.4748050656),800000,408341
POINT(-1.2403479741 51.6014169101),318000,415802
POINT(-1.3192811027 51.9784401425),645000,418904
POINT(-1.1815710472 51.8979197742),360995,421186
POINT(-1.2938986204 51.782965464),910000,430834
POINT(-1.3275591017 52.0644767138),237000,431795
POINT(-1.399376324 51.8123139443),560000,434852
POINT(-1.2361669374 51.7609895028),733000,446077
POINT(-1.632426612 51.8069888494),900000,452780
POINT(-1.3212836418 52.0685135978),297000,456568
POINT(-1.0997947679 51.8729562293),875000,460596
POINT(-1.152285417 51.9048874837),363700,473893
POINT(-1.3345075557 52.0425425107),379995,479543
POINT(-1.2927891635 51.820551547),437500,483834
POINT(-1.2662168857 51.7861229007),770000,502395
POINT(-1.2716784597 51.785473492),1260000,505739
POINT(-1.1387946776 51.9102831234),268000,509605
POINT(-1.2648842549 51.6100790084),486000,523702
POINT(-0.9024805687 51.5355692673),560000,531629
POINT(-1.2734330484 51.7511282193),560000,548980
POINT(-1.2617287709 51.9295504166),136000,566686
POINT(-1.2395177918 51.752136672),645000,566822
POINT(-1.2801908471 51.7515923632),670000,566839
POINT(-1.4789197334 51.866991898),362000,582600
POINT(-1.6549459322 51.7373117884),1225000,586024
POINT(-1.3447724757 52.0624788323),235000,587599
POINT(-1.5448089091 51.9436712769),292000,590403
POINT(-1.3097687679 51.6481517174),377000,603340
POINT(-1.1787505647 51.8979720583),409950,612882
POINT(-1.3535577916 51.8474340448),2350000,632135
POINT(-0.9097776155 51.5367073177),780000,633343
POINT(-0.9003586888 51.5284907126),489360,633785
POINT(-1.3793844369 51.7861085722),337000,635310
POINT(-1.5804557514 51.6586732884),680000,637495
POINT(-1.2107284038 51.7365715816),412500,637991
POINT(-0.9091258064 51.5326099482),423000,650457
POINT(-1.1394687178 51.8947871237),324500,666675
POINT(-1.430848291 51.6050920407),248000,671756
POINT(-0.9124521561 51.5412460531),408000,683174
POINT(-1.0185773418 51.5360039404),795000,707673
POINT(-1.3905761273 51.939908282),294000,708520
POINT(-1.3881460333 51.5849700684),760000,715569
POINT(-1.2670061301 51.7812544959),740000,734962
POINT(-1.2810222443 51.6800613951),240000,737549
POINT(-0.9538902589 51.5615305739),800000,6402
POINT(-1.4098977205 51.5904941758),985000,7602
POINT(-1.4234233303 51.603041696),925000,15720
POINT(-1.500258697 51.7918363412),630000,22117
POINT(-1.2349532229 51.8242357607),2670000,22311
POINT(-1.3727154795 51.7819372304),875000,24208
POINT(-0.9728408241 51.4835856352),686000,28413
POINT(-1.3435543921 51.6655638412),535000,30760
POINT(-1.3885752326 51.6368267302),540000,32761
POINT(-1.2407466653 51.7056410644),850000,33542
POINT(-1.5769391349 51.7676814157),445885,37271
POINT(-1.6555544066 51.603753831),445000,38179
POINT(-1.1531698374 51.6152345408),2850000,42034
POINT(-1.2389637669 51.7385470156),841075,43059
POINT(-1.2593502612 51.7689692679),4000000,46466
POINT(-1.1416297807 51.6022118022),785000,47458
POINT(-1.4876877564 51.7688002921),700000,51459
POINT(-1.2910809638 51.8212336061),1785000,51734
POINT(-1.4322919597 51.8502677387),725000,53569
POINT(-1.2391394062 51.7048304365),570000,55352
POINT(-1.3591418197 52.0756307862),535000,56300
POINT(-1.5978157564 51.6474855407),592500,63190
POINT(-1.2287444767 51.7612107966),1115000,65397
POINT(-1.2962901806 51.6281195507),690000,66004
POINT(-1.5131913921 51.6354492927),615000,70873
POINT(-1.4252369826 51.8570488713),1950000,71300
POINT(-1.0711575055 51.8535459972),1250000,71649
POINT(-1.4005277702 51.8250244595),607500,73746
POINT(-1.1697947315 51.8941958244),584995,75790
POINT(-1.1859802716 51.8388414715),590000,76037
POINT(-1.5753759972 51.7721084967),930000,76091
POINT(-1.1244533725 51.6814719864),770000,86619
POINT(-1.2731315212 51.6796532465),750000,91346
POINT(-0.9936060547 51.7494618034),535000,93811
POINT(-1.3960747768 52.0732818257),1348000,98157
POINT(-1.6007582891 51.7747869136),590000,106898
POINT(-1.1825370844 51.6969872921),1295000,109235
POINT(-1.5991856891 51.755971746),367500,110263
POINT(-1.165989001 51.8933147408),620000,110279
POINT(-1.5162846444 51.7819501446),427100,119994
POINT(-0.9903457086 51.4845649022),665700,121572
POINT(-1.632426612 51.8069888494),1346500,123424
